,batch_loss,val_auc,val_loss
0,0.32203206419944763,0.7854809875218087,0.4968745535255497
1,0.6033900380134583,0.8094528885262864,0.49493689007229275
2,0.42716464400291443,0.8202023882024804,0.47983357182934755
3,0.4280732274055481,0.8248161275836429,0.4893714341088238
4,0.44087114930152893,0.8382793919954284,0.47629819491989595
5,0.41326794028282166,0.8184856764848799,0.4679432080851661
6,0.2605273425579071,0.8295712275712521,0.4736843577816955
7,0.5148507952690125,0.8272430267017732,0.49615998960967755
8,0.29436859488487244,0.8384860551270596,0.45065257691929483
9,0.38374510407447815,0.835081504945632,0.47885609844810945
10,0.4886941909790039,0.8316314653067352,0.4667117544728467
11,0.35769128799438477,0.8506642625753349,0.459380661829924
12,0.45467501878738403,0.8337861473116227,0.46920810104944766
